,手入力,※1年前の数値は出せない,,満足度参考基準？,視聴達成率,140%以上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,管理画面から自動入力,,,,ENG率,0.6%以上,,,,,,オーガニックも含めた再生回数,,,,,,,,,,,,,,,,,,,,,リプライ有,,,,,,リプライ無,,,,,,,,,,,,,,,,,
,関数,,,,コメント数,50件以上,,,,,★,★,,,,,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,★,,,,,,
,,,,,いいね数,"10,000件以上",,リーチ、動画視聴の2本あるやつはキャンペーンIDを記載しない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,企業名,クライアント名,商品名,カテゴリー,URL,配信ステータス,広告アカウントID,campaign_id,投稿日,配信目的,想定再生回数,実績再生回数,総額,配信予算,配信費用,想定再生単価,実績再生単価,視聴達成率,掲載単価(N),動画秒数,いいね,いいね率,コメント,コメント率,シェア,シェア率,保存,保存率,ENG数,ENG率,CPC,CPM,IMP数,CL数,CTR,リーチ数,リーチ率,FQ,動画視聴数,2秒視聴率,2秒動画再生数,6秒視聴率,6秒動画再生数,完全視聴率,再生完了数,75%(動画が再生された長さが),50%(動画が再生された長さが),25%(動画が再生された長さが),平均再生秒数,一人当たりの平均視聴時間,オーガニック再生数（実績ー広告配信mp）,リーチ単価,視聴単価,cpc,完全視聴単価,エンゲージ単価
,ステラシード株式会社,nekopi,折りたたみ傘,日用品,https://www.tiktok.com/@tobuy_desu/video/7338274577455402247?lang=ja-JP,配信中,7330914430168973314,1791571427961906,2024/02/22,動画視聴,"1,000,000","1,400,000","¥1,300,000","¥450,000","¥449,995",¥1.30,¥0.93,140.00%,¥0.36,17.37,"3,178",0.23%,50,0.004%,38,0.00%,61,0.004%,"3,327",0.24%,¥117,360,"1,249,597","3,845",0.31%,"954,986",76.42%,1.31,"1,243,153",68.13%,"846,987",26.25%,"326,267",5.85%,"72,728","98,786.00","182,572.00","412,589.00",4.88,6.36,"150,403",,,,,
,花王株式会社,Liese,カールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7339726643855887623?lang=ja-JP,配信中,7078872325327781890,1791925934652450,2024/02/26,動画視聴,"2,500,000","3,600,000","¥3,000,000","¥1,100,000","¥1,100,000",¥1.20,¥0.83,144.00%,¥0.36,14.72,"14,000",0.39%,66,0.002%,180,0.01%,868,0.024%,"15,114",0.42%,"¥1,100,000",358,"3,064,624",1,0.00%,"1,673,096",54.59%,1.83,"3,048,548",33.98%,"1,035,843",12.16%,"370,748",5.05%,"153,896","240,980.00","326,614.00","520,576.00",4.10,7.47,"535,376",,,,,
,株式会社ナリス化粧品,by365,UVクリーム,日用品,https://www.tiktok.com/@tobuy_desu/video/7340112617110949121?lang=ja-JP,配信中,7335036029461921794,1792039085937698,2024/02/27,動画視聴,"1,500,000","2,100,000","¥2,000,000","¥700,000","¥687,563",¥1.33,¥0.95,140.00%,¥0.37,11.54,"9,505",0.45%,107,0.005%,184,0.01%,462,0.022%,"10,258",0.49%,¥98,372,"1,847,157","6,981",0.38%,"1,069,684",57.91%,1.73,"1,837,914",39.35%,"723,262",11.46%,"210,545",5.40%,"99,223","149,528.00","217,374.00","502,322.00",3.06,5.26,"252,843",,¥1.4,¥286.5,¥20.2,¥195.0
,健栄製薬株式会社,ルマイルド,ミスト化粧水,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7340856794425707784?lang=ja-JP,配信中,7334965137192976386,1792202729157649,2024/02/29,動画視聴,"2,000,000","2,900,000","¥2,500,000","¥850,000","¥849,869",¥1.25,¥0.86,145.00%,¥0.35,15.51,"4,724",0.16%,43,0.001%,57,0.00%,199,0.007%,"5,023",0.17%,¥112,348,"2,435,300","7,548",0.31%,"1,424,722",58.50%,1.71,"2,425,910",56.92%,"1,380,910",20.48%,"496,773",3.38%,"81,942","136,244.00","293,946.00","755,551.00",3.88,6.60,"464,700",¥1.4,,,,
,小林製薬株式会社,ブレスケア,ブレスケア,日用品,https://www.tiktok.com/@tobuy_desu/video/7341262381898648840?lang=ja-JP,配信中,7330554044890775553,1792301250302993,2024/03/01,動画視聴,"2,000,000","3,400,000","¥1,600,000","¥950,000","¥950,000",¥0.80,¥0.47,170.00%,¥0.33,11.29,"7,412",0.22%,53,0.002%,51,0.00%,191,0.006%,"7,707",0.23%,¥0,332,"2,855,842",0,0.00%,"1,796,609",62.91%,1.59,"2,840,832",44.40%,"1,261,437",14.30%,"406,295",8.47%,"240,636","329,031.00","418,599.00","1,036,174.00",4.15,6.56,"544,158",,,,,
,株式会社ネットプロテクションズ/atone,atone,,その他,https://www.tiktok.com/@tobuy_desu/video/7341235943275253010?lang=ja-JP,配信中,7327561440813039618,1789682461557762,2024/03/01,動画視聴,"3,250,000","2,600,000","¥3,412,500",,"¥1,005,859",¥1.05,¥1.31,80.00%,¥0.45,16.49,"3,482",0.13%,12,0.000%,33,0.00%,66,0.003%,"3,593",0.14%,¥150,446,"2,253,349","6,662",0.30%,"1,271,961",56.45%,1.77,"2,243,282",46.26%,"1,037,768",14.06%,"315,345",2.87%,"64,313","115,866.00","168,358.00","481,875.00",3.41,6.01,"346,651",,,,,
,花王株式会社,マジックリン,トイレマジックリン泡パック,日用品,https://www.tiktok.com/@tobuy_desu/video/7341214055891242241?lang=ja-JP,配信中,7301187566009827329,1792291041650785,2024/03/01,動画視聴,"1,000,000","1,600,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.81,160.00%,¥0.34,11.63,"1,747",0.11%,44,0.003%,54,0.00%,36,0.002%,"1,881",0.12%,¥108,341,"1,316,011","4,131",0.31%,"992,835",75.44%,1.33,"1,310,100",62.03%,"812,615",17.87%,"234,129",6.61%,"86,564","127,299.00","247,920.00","531,947.00",3.96,5.23,"283,989",,,,,
,レブロン株式会社,レブロン,ダズルクアッドアイシャドウ,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7342341449343716609?lang=ja-JP,配信中,7299263685933924353,1792564080251905,2024/03/04,動画視聴,"2,000,000","2,800,000","¥2,500,000","¥950,000","¥950,000",¥1.25,¥0.89,140.00%,¥0.40,12.12,"9,046",0.32%,113,0.004%,77,0.003%,346,0.012%,"9,582",0.34%,¥115,396,"2,398,277","8,240",0.34%,"1,333,314",55.59%,1.8,"2,386,176",37.14%,"886,174",13.64%,"325,532",5.22%,"124,558","190,950","321,021","628,355",3.06,5.47,,¥1.0,,,,
,P＆Gジャパン合同会社,パンテーン,パンテーンミラクルズ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7342712626406853896?lang=ja-JP,配信中,7335385136772743170,1792654928929826,2024/03/05,動画視聴,"1,000,000","1,445,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.90,144.50%,¥0.35,15.63,"3,638",0.25%,35,0.002%,51,0.004%,509,0.035%,"4,233",0.29%,¥121,354,"1,269,158","3,703",0.29%,"855,594",67.41%,1.48,"1,264,338",44.22%,"559,119",14.28%,"180,529",4.22%,"53,414","80,551","121,904","306,478",3.60,5.32,,,,,,
,小林製薬株式会社,キュアレア,,日用品,https://www.tiktok.com/@tobuy_desu/video/7343456893530279186?lang=ja-JP,配信中,7334894013897572353,1792836260041729,2024/03/07,動画視聴,"2,500,000","4,900,000","¥2,500,000","¥1,200,000","¥1,200,000",¥1.00,¥0.51,196.00%,¥0.31,13.82,"22,700",0.46%,174,0.004%,598,0.01%,"2,651",0.054%,"26,123",0.53%,¥124,307,"3,897,310","9,673",0.25%,"2,434,351",62.46%,1.6,"3,883,144",71.99%,"2,795,515",25.02%,"971,401",6.00%,"232,892","393,467.00","783,616.00","1,833,968.00",4.80,7.66,"1,002,690",,,,,
,株式会社伊勢半,ヘビーローテーション,アイブロウペンシル,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7343449849234296066?lang=ja-JP,配信中,7333463178036330497,1792834733124641,2024/03/07,動画視聴,"1,000,000","1,487,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.87,148.70%,¥0.32,14.1,"7,723",0.52%,27,0.002%,31,0.002%,158,0.011%,"7,939",0.53%,¥82,322,"1,396,074","5,429",0.39%,"998,653",71.53%,1.4,"1,390,898",55.70%,"774,750",19.32%,"268,706",5.43%,"75,507","148,089","234,612","413,467",3.97,5.53,,¥2.5,,,,
,花王株式会社,Liese,おでこ隠しバーム,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7344924600851090695?lang=ja-JP,配信中,7078872325327781890,1793194323423282,2024/03/11,動画視聴,"2,000,000","3,500,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.71,175.00%,¥0.29,13.72,"22,900",0.65%,148,0.004%,576,0.016%,"1,715",0.049%,"25,339",0.72%,¥0,292,"2,909,682",0,0.00%,"2,289,228",78.68%,1.27,"2,896,306",62.69%,"1,815,589",27.76%,"804,054",12.57%,"363,925","473,035","658,995","1,183,528",5.88,7.44,,,,,,
,レブロン株式会社,レブロン,キスシュガースクラブ,メイクアップ,https://www.tiktok.com/@tobuy_z?lang=ja-JP,配信中,7299263685933924353,1793195077583873,2024/03/11,動画視聴,"1,500,000","2,229,856","¥1,500,000","¥730,000","¥730,000",¥1.00,¥0.67,148.66%,¥0.33,13.86,"16,000",0.72%,113,0.005%,110,0.00%,966,0.043%,"17,189",0.77%,¥98,325,"2,241,205","7,420",0.33%,"1,512,899",67.50%,1.48,"2,229,856",58.52%,"1,305,023",27.47%,"612,500",6.04%,"134,739","255,225.00","508,555.00","846,553.00",4.42,6.51,"-11,349",,,,,
,花王株式会社,Liese,カールローション,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7211430236490091778?lang=ja-JP,配信中,7078872325327781890,1765678261185538,2024/03/17,動画視聴,"2,000,000","3,700,000","¥2,500,000","¥760,000",¥0,¥1.25,¥0.68,185.00%,#DIV/0!,18.37,"144,600",3.91%,348,0.009%,0,0.000%,"18,900",0.511%,"163,848",4.43%,¥0,¥0,0,0,0.00%,0,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0,0,0,0.00,0.00,,,,,,
,花王株式会社,ケープ,キープウォーター,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7348653229804129554?lang=ja-JP,配信中,7151369742064861186,1794104915975217,2024/03/21,動画視聴,"1,000,000","1,400,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.93,140.00%,¥0.36,16.93,"3,552",0.25%,29,0.002%,70,0.01%,742,0.053%,"4,393",0.31%,¥105,361,"1,243,937","4,262",0.34%,"844,005",67.85%,1.47,"1,237,046",45.03%,"557,026",17.01%,"210,480",6.85%,"84,732","130,026.00","159,971.00","292,229.00",4.12,6.04,"156,063",,¥1.8,¥305.0,¥15.3,¥295.9
,かどや製油株式会社,かどや製油,ごま油,食品,https://www.tiktok.com/@moshiyome.tobuy/video/7349033291002957064?lang=ja-JP,配信中,7340895881803202568,1794199659833394,2024/03/22,動画視聴,"1,000,000","1,400,000","¥1,300,000","¥450,000","¥450,000",¥1.30,¥0.93,140.00%,¥0.36,14.54,"9,992",0.71%,40,0.003%,72,0.01%,"1,869",0.134%,"11,973",0.86%,¥93,359,"1,251,512","4,817",0.38%,"871,773",69.66%,1.44,"1,245,971",52.88%,"658,827",20.37%,"253,851",4.61%,"57,382","129,435.00","199,467.00","365,278.00",4.34,6.21,"148,488",,,,,
,花王株式会社,Liese,ニュアンススタイリングオイル,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7350153488891940103?lang=ja-JP,配信中,7078872325327781890,1794472337352705,2024/03/25,動画視聴,"2,000,000","2,700,000","¥2,500,000","¥760,000","¥850,000",¥1.25,¥0.93,135.00%,¥0.37,10.87,"7,643",0.28%,43,0.002%,57,0.00%,"2,118",0.078%,"9,861",0.37%,¥0,370,"2,295,500",0,0.00%,"1,353,297",58.95%,1.7,"2,285,735",55.85%,"1,276,487",16.15%,"369,062",5.42%,"123,916","194,117.00","407,491.00","908,221.00",4.03,6.81,"404,500",,,,,
,コーセーコスメポート株式会社,Visee,ハイライト、シェーディング,メイクアップ,https://www.tiktok.com/@tobuy_desu/video/7350141851904576769?lang=ja-JP,配信中,7340535057859330055,1794468445568002,2024/03/25,動画視聴,"1,000,000","1,300,000","¥1,300,000","¥450,000","¥309,455",¥1.30,¥1.00,130.00%,¥0.43,17.41,"3,336",0.26%,21,0.002%,19,0.00%,461,0.035%,"3,837",0.30%,¥127,428,"722,348","2,433",0.34%,"538,650",74.57%,1.34,"718,419",38.14%,"274,033",14.05%,"100,968",3.63%,"26,059","57,185.00","71,623.00","150,131.00",3.67,4.89,"577,652",,,,,
,花王株式会社,Liese,前髪リセットパウダー,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7352723234812382482?lang=ja-JP,配信中,7078872325327781890,1795101643431985,2024/04/01,動画視聴,"2,000,000","3,300,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.76,165.00%,¥0.31,13.86,"17,200",0.52%,78,0.002%,125,0.00%,"3,821",0.116%,"21,224",0.64%,"¥22,368",307,"2,768,169",38,0.00%,"1,990,369",71.90%,1.39,"2,755,929",55.65%,"1,533,633",21.81%,"601,062",9.84%,"271,048","406,559.00","484,727.00","1,021,842.00",5.15,7.13,"531,831",,,,,
,株式会社ファイントゥデイホールディングス,uno,フェイスカラークリエイター,メイクアップ,https://www.tiktok.com/@tobuy_mendazo/video/7353117398813216007?lang=ja-JP,配信中,7286269881757188098,1795196322681874,2024/04/02,動画視聴,"2,500,000","3,500,000","¥2,000,000","¥1,200,000","¥1,200,000",¥0.80,¥0.57,140.00%,¥0.40,13.33,"6,450",0.18%,76,0.002%,79,0.00%,960,0.027%,"7,565",0.22%,"¥32,432",395,"3,031,336",37,0.00%,"1,333,998",44.01%,2.27,"3,015,292",31.11%,"937,924",8.86%,"267,064",4.08%,"122,925","163,079.00","242,102.00","577,845.00",3.46,7.83,"468,664",,,,,
,株式会社ファンケル,toiro,化粧水,スキンケア,https://www.tiktok.com/@tobuy_desu/video/7359042430244637959?lang=ja-JP,配信中,7345390234823196674,,2024/04/18,動画視聴,"2,000,000","2,400,000","¥2,500,000","¥850,000","¥829,436",¥1.25,¥1.04,120.00%,¥0.41,17.18,"1,432",0.06%,1,0.000%,27,0.00%,184,0.008%,"1,644",0.07%,¥136,408,"2,029,040","5,995",0.30%,"1,509,805",74.41%,1.34,"2,018,681",30.84%,"622,601",8.33%,"168,167",1.21%,"24,375","38,050","64,449","255,700",3.80,2.84,"370,960",,,,,
,花王株式会社,ケープ,前髪マスカラ,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7360601017370643719?lang=ja-JP,配信中,7151369742064861186,1797022015488033,2024/04/22,動画視聴,"2,000,000","2,800,000","¥2,500,000","¥850,000","¥850,000",¥1.25,¥0.89,140.00%,¥0.38,10.22,"6,450",0.23%,99,0.004%,91,0.003%,"1,148",0.041%,"7,788",0.28%,"¥170,000",377,"2,249,906",5,0.00%,"1,468,912",65.29%,1.53,"2,239,790",45.97%,"1,029,625",20.11%,"450,420",11.06%,"247,688","345,487.00","492,978.00","915,565.00",4.44,6.77,,¥1.7,,,,
,花王株式会社,ハイター,キッチン泡ハイター　無臭性,日用品,https://www.tiktok.com/@tobuy_desu/video/7360976696138288391?is_from_webapp=1&sender_device=pc&web_id=7159073389364135426,配信中,7356460499732824080,1797114402867234,2024/04/23,動画視聴,"2,000,000","2,600,000","¥2,000,000","¥850,000","¥850,000",¥1.00,¥0.77,130.00%,¥0.40,15.3,"7,528",0.29%,110,0.004%,124,0.005%,"1,400",0.054%,"9,162",0.35%,"¥170,000",397,"2,140,373",5,0.00%,"1,424,432",66.55%,1.5,"2,132,203",71.64%,"1,527,404",24.10%,"513,766",9.81%,"209,168","301,655.00","379,336.00","870,030.00",6.93,10.37,,,,,,
,花王株式会社,Liese,おでこ隠しバーム,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_desu/video/7362021364649200904,配信中,7078872325327781890,1797376381771809,2024/04/26,動画視聴,"1,150,000","1,626,000","¥1,500,000","¥520,000","¥520,000",¥1.30,¥0.92,141.39%,¥0.37,12.33,"7,554",0.46%,89,0.005%,75,0.00%,"1,815",0.112%,"9,533",0.59%,"¥86,666",370,"1,403,317",6,0.00%,"1,038,279",73.99%,1.35,"1,396,461",67.94%,"948,754",27.00%,"377,025",13.75%,"192,018","258,367.00","371,107.00","671,628.00",5.86,7.88,"222,683",,¥1.2,"¥250,000.0",¥7.8,¥157.3
,レブロン株式会社,レブロン,マルチプレイヤーアイライナー,メイクアップ,https://www.tiktok.com/@tobuy_z/video/7363869478901386513?lang=ja-JP,配信中,7299263685933924353,1797820172747794,2024/05/01,動画視聴,"1,150,000","1,500,000","¥1,500,000","¥570,000","¥569,996",¥1.30,¥1.00,130.43%,¥0.46,21.92,"18,000",1.20%,20,0.001%,15,0.001%,"2,239",0.149%,"20,274",1.35%,¥93,455,"1,252,037","6,066",0.48%,"928,722",74.18%,1.35,"1,246,483",53.67%,"668,988",23.86%,"297,404",4.94%,"61,594","121,352.00","172,108.00","328,685.00",5.69,7.63,,,,,,
,花王株式会社,Liese,シルキー髪オイルミスト(飲み会訴求),ヘアケア・スタイリング,https://vt.tiktok.com/ZSYYMeC2W/,配信中,7078872325327781890,1798455738003506,2024/05/08,動画視聴,"1,660,000","3,677,000","1,660,000","¥630,000","¥1,900,000",¥1.00,¥0.45,221.51%,¥0.50,12.83,"6,446",0.18%,26,0.001%,145,0.004%,"1,274",0.035%,"7,891",0.21%,¥0,497,"3,819,826",0,0.00%,"2,123,260",55.59%,1.8,"3,798,297",,"1,964,082",21.10%,"801,563",,"270,228","531,271.00","764,531.00","1,389,934.00",5.05,9.04,,,,,,
,花王株式会社,Liese,シルキー髪オイルミスト(韓国アイドル訴求),ヘアケア・スタイリング,"https://vt.tiktok.com/ZSYYM2CdL/",配信中,7078872325327781890,1798455738003506,2024/05/08,動画視聴,"1,660,000","372,000","1,660,000","¥630,000","¥1,900,000",¥1.00,¥4.46,22.41%,¥0.50,9.83,"2,098",0.56%,46,0.012%,145,0.039%,497,0.134%,"2,786",0.75%,¥0,497,"3,819,826",0,0.00%,"2,123,260",55.59%,1.8,"3,798,297",,"1,964,082",21.10%,"801,563",,"270,228","531,271.00","764,531.00","1,389,934.00",5.05,9.04,,,,,,
,花王株式会社,Liese,シルキー髪オイルミスト(自撮り盛れ訴求),ヘアケア・スタイリング,"https://vt.tiktok.com/ZSYY63Lp7/",配信中,7078872325327781890,1798455738003506,2024/05/08,動画視聴,"1,660,000","257,000","1,660,000","¥630,000","¥1,900,000",¥1.00,¥6.46,15.48%,¥0.50,8.73,"1,142",0.44%,4,0.002%,145,0.056%,305,0.119%,"1,596",0.62%,¥0,497,"3,819,826",0,0.00%,"2,123,260",55.59%,1.8,"3,798,297",,"1,964,082",21.10%,"801,563",,"270,228","531,271.00","764,531.00","1,389,934.00",5.05,9.04,,,,,,
,ライオン株式会社,NONIO,歯磨き粉②,日用品,https://www.tiktok.com/@tobuy_desu/video/7366825252539649288,配信中,7355435014030671888,1798542845253633,2024/05/09,動画視聴,"1,330,000","915,000","¥4,000,000","¥1,900,000","¥1,899,917",¥3.01,¥4.37,68.80%,¥0.44,13.23,"1,226",0.13%,16,0.002%,105,0.01%,150,0.016%,"1,497",0.16%,"¥1,899,917",436,"4,353,104",1,0.00%,"2,755,918",63.31%,1.58,"4,327,848",80.05%,"3,464,512",33.38%,"1,444,592",7.63%,"330,251","576,169.00","1,398,159.00","2,420,543.00",6.05,9.49,"-3,438,104",,,,,
,ライオン株式会社,NONIO,歯磨き粉④,日用品,https://www.tiktok.com/@tobuy_desu/video/7366826632046234887,配信中,7355435014030671888,1798542845253633,2024/05/09,動画視聴,"1,330,000","4,260","¥4,000,000","¥1,900,000","¥1,899,917",¥3.01,¥938.97,0.32%,¥0.44,9.54,12,0.28%,2,0.047%,105,2.46%,2,0.047%,121,2.84%,"¥1,899,917",436,"4,353,104",1,0.00%,"2,755,918",63.31%,1.58,"4,327,848",80.05%,"3,464,512",33.38%,"1,444,592",,"330,251","576,169","1,398,159","2,420,543",6.05,9.49,,,,,,
,ライオン株式会社,NONIO,歯磨き粉①,日用品,https://www.tiktok.com/@tobuy_desu/video/7366828205380029704,配信中,7355435014030671888,1798542845253633,2024/05/09,動画視聴,"1,330,000","3,941,000","¥4,000,000","¥1,900,000","¥1,899,917",¥3.01,¥1.01,296.32%,¥0.44,12.34,"15,000",0.38%,108,0.003%,105,0.00%,"1,566",0.040%,"16,779",0.43%,"¥1,899,917",436,"4,353,104",1,0.00%,"2,755,918",63.31%,1.58,"4,327,848",80.05%,"3,464,512",33.38%,"1,444,592",7.63%,"330,251","576,169.00","1,398,159.00","2,420,543.00",6.05,9.49,"-412,104",,,,,
,株式会社みずほ銀行,J-Coin Pay,Jコインアプリ,その他,https://www.tiktok.com/@moshiyome.tobuy/video/7374244866072644865,配信中,7356845558335848449,1800461861967874,2024/05/29,動画視聴,"1,400,000","1,422,000","1,950,000","¥500,000","¥500,000",¥1.39,¥1.37,101.57%,¥0.47,17.51,583,0.04%,5,0.000%,8,0.00%,139,0.010%,735,0.05%,¥156,473,"1,056,117","3,196",0.30%,"845,925",80.10%,1.25,"1,050,634",33.66%,"353,677",4.92%,"51,662",0.80%,"8,441","13,483.00","24,079.00","110,850.00",2.64,3.28,"365,883",,¥2.8,¥610.1,¥231.0,"¥2,653.1"
,株式会社みずほ銀行,J-Coin Pay,Jコインアプリ,その他,https://www.tiktok.com/@moshiyome.tobuy/video/7374244866072644865,配信中,7356845558335848449,1800353937035266,2024/05/29,動画視聴,"1,400,000","1,422,000","1,950,000","¥500,000","¥133,373",¥1.39,¥1.37,101.57%,¥0.63,17.51,583,0.04%,5,0.000%,5,0.00%,139,0.010%,732,0.05%,¥169,626,"213,048",789,0.37%,"195,379",91.71%,1.09,"211,682",73.80%,"156,229",25.95%,"54,924",4.67%,"9,894","17,001.00","28,064.00","93,487.00",7.40,8.02,"1,208,952",,¥1.4,"¥2,471.5",¥197.1,"¥2,663.9"
,,,,,,,,,,動画視聴とリーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,花王株式会社,リーゼ,ドライシャンプー（なにこれ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7368690968620567825,配信中,7078872325327781890,1798996917513250,2024/05/14,動画視聴,"1,000,000","1,400,000","1,300,000","¥437,794","¥449,806",¥1.30,¥0.93,140.00%,¥0.39,10.24,"8,808",0.63%,102,0.007%,66,0.00%,"1,560",0.111%,"10,536",0.75%,¥0,387,"1,161,089",0,0.00%,"1,027,661",88.51%,1.13,"1,153,981",70.25%,"810,671",38.56%,"445,027",24.57%,"283,554","401,107.00","494,840.00","739,939.00",7.27,8.16,"238,911",,,,,
,花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,7078872325327781890,1799809591620657,2024/05/23,動画視聴,"1,000,000","1,100,000","1,300,000","¥437,794","¥355,782",¥1.30,¥1.18,110.00%,¥0.48,23.01,"2,247",0.20%,31,0.003%,23,0.00%,382,0.035%,"2,683",0.24%,¥0,479,"742,200",0,0.00%,"582,404",78.47%,1.27,"736,906",61.67%,"454,423",35.23%,"259,615",16.77%,"123,554","184,460.00","210,062.00","263,657.00",9.27,11.73,"357,800",,,,,
,花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,7078872325327781890,1800274107382882,2024/05/23,リーチ,"1,000,000","1,100,000","1,300,000","¥437,794","¥70,000",,,,¥0.39,23.01,"2,247",0.20%,31,0.003%,0,0.00%,382,0.035%,"2,660",0.24%,¥0,393,"178,097",0,0.00%,"175,321",98.44%,1.02,"176,855",,"47,207",9.02%,"15,961",,"6,196","9,135.00","11,503.00","16,316.00",3.37,3.40,,,,,,
,花王株式会社,リーゼ,ドライシャンプー（ドッキリ訴求）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7372019892461112592,配信中,,,,動画視聴とリーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,7078872325327781890,1800803220952097,2024/06/03,動画視聴,"1,000,000","1,100,000","1,300,000","¥437,794","¥214,708",¥1.30,¥1.18,110.00%,¥0.52,14.49,"4,484",0.41%,29,0.003%,20,0.00%,899,0.082%,"5,432",0.49%,¥0,517,"414,512",0,0.00%,"363,150",87.61%,1.14,"412,047",56.33%,"232,114",25.98%,"107,040",18.20%,"75,009","94,464.00","103,846.00","129,038.00",6.33,7.19,"685,488",,¥1.2,#DIV/0!,¥17.3,¥239.3
,花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,7078872325327781890,1801072620841010,2024/06/03,リーチ,"1,000,000","1,100,000","1,300,000","¥437,794","¥240,000",¥1.30,¥1.18,110.00%,¥0.42,14.49,"4,484",0.41%,29,0.003%,12,0.00%,899,0.082%,"5,424",0.49%,¥0,422,"568,461",0,0.00%,"385,341",67.79%,1.48,"565,712",24.65%,"139,421",6.86%,"38,813",4.37%,"24,741","30,262.00","36,305.00","53,046.00",2.79,4.10,"531,539",,¥1.2,#DIV/0!,¥52.5,¥239.7
,花王株式会社,リーゼ,ドライシャンプー（暑さ対策）,ヘアケア・スタイリング,https://www.tiktok.com/@tobuy_z/video/7376086484782189840,配信中,,,,動画視聴とリーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,楽天グループ株式会社,韓国コスメ,to buy(視聴）,その他,https://www.tiktok.com/@tobuy_desu/video/7372366972387937543,配信中,7248936224260472833,1800176339742770,2024/05/24,動画視聴,"2,000,000","840,000","¥2,500,000","¥75,714","¥44,258",¥1.25,¥2.98,42.00%,¥0.48,19.70,"2,195",0.26%,4,0.000%,0,0.00%,42,0.005%,"2,241",0.27%,¥180,478,"92,400",245,0.27%,"91,543",3.20%,1.01,"91,584",13.58%,"12,441",2.74%,"2,507",0.51%,469,798.00,"1,402.00","3,273.00",1.80,1.80,"747,600",,¥1.5,"¥10,204.1","¥5,330.5","¥1,115.6"
,楽天グループ株式会社,韓国コスメ,COCO(視聴目的）,その他,https://www.tiktok.com/@tobuy_z/video/7372371508099812625,配信中,7248936224260472833,1799901763558546,2024/05/24,動画視聴,"2,000,000","2,300,000","¥2,500,000","¥850,000","¥309,143",¥1.25,¥1.09,115.00%,¥1.34,17.04,"1,854",0.08%,4,0.000%,1,0.00%,183,0.008%,"2,042",0.09%,¥33,1338,"230,936","9,355",4.05%,"181,664",6.35%,1.27,"208,160",31.60%,"65,769",6.31%,"13,145",3.10%,"6,449","7,588.00","10,345.00","19,124.00",2.87,3.29,"2,069,064",,#REF!,¥267.2,¥387.7,"¥1,224.3"
